project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2002517,CTPC 131,"CTPC 131, Vereda Marroquin, Yopal, Casanare",-72.4248,5.4561,2020-11-22 00:00:00,2020-12-14 00:00:00,None,,Other,,2010709,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 052,"CTPC 052, Vereda Zambo, Tauramena, Casanare",-72.8148,5.1208,2020-12-07 00:00:00,2021-01-15 00:00:00,None,,Other,,2010891,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 093,"CTPC 093, Vereda Cupiagua, Aguazul, Casanare",-72.6329,5.2143,2020-11-28 00:00:00,2021-01-20 00:00:00,None,,Other,,2010820,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CPTC 023,"CPTC 023, vereda Aceite Alto, Tauramena, Casanare",-72.6959,4.9958,2020-12-01 00:00:00,2021-01-13 00:00:00,None,,None,,2009784,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 004,"CTPC 004, vereda Chaparral, Tauramena, Casanare",-72.7031,4.9676,2020-11-28 00:00:00,2021-01-14 00:00:00,None,,Other,,2010697,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 065,"CTPC 065, Vereda Visinaca, Tauramena, Casanare",-72.7412,5.1399,2020-12-12 00:00:00,2021-01-16 00:00:00,None,,Other,,2010789,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 077,"CTPC 077, vereda Unete, Aguazul, Casanare",-72.6173,5.186,2020-12-03 00:00:00,2021-01-18 00:00:00,None,,Other,,2010810,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 081,"CTPC 081, Vereda Cupiagua, Aguazul, Casanare",-72.6232,5.1942,2020-11-27 00:00:00,2021-01-19 00:00:00,None,,Other,,2010894,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 151,"CTPC 151, vereda el Morro, Yopal, Casanare",-72.461,5.5023,2020-11-21 00:00:00,2021-01-27 00:00:00,None,,Other,,2010784,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 040,"CTPC 040, Vereda Bendiciones, Tauramena, Casanare",-72.7959,5.0756,2020-12-10 00:00:00,2021-01-14 00:00:00,None,,Other,,2010751,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 076,"CTPC 076, Vereda Unete, Aguazul, Casanare",-72.6244,5.1867,2020-12-02 00:00:00,2021-01-13 00:00:00,None,,Other,,2010683,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 096,"CTPC 096, Vereda Unete, Aguazul, Casanare",-72.6059,5.2136,2020-12-03 00:00:00,2021-01-20 00:00:00,None,,Other,,2010821,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 015,"CTPC 015, vereda Chaparral, Tauramena, Casanare",-72.7151,4.9873,2020-12-02 00:00:00,2021-01-12 00:00:00,None,,Other,,2010883,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 042,"CTPC 042, Vereda Bendiciones, Tauramena, Casanare",-72.8048,5.0857,2020-12-10 00:00:00,2021-01-14 00:00:00,None,,Other,,2010752,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 016,"CTPC 016. Vereda Chaparral, Tauramena, Casanare",-72.7052,4.9869,2020-12-01 00:00:00,2021-01-15 00:00:00,None,,Other,,2010685,2,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 073,"CTPC 073, vereda Monterralo, Aguazul, Casanare",-72.6511,5.1856,2020-11-30 00:00:00,2021-01-17 00:00:00,None,,Other,,2010859,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 034,"CTPC 034, Vereda Paso Cusiana, Tauramena, Casanare",-72.7159,5.01776,2020-11-29 00:00:00,2021-01-13 00:00:00,None,,Other,,2010747,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 030,"CTPC 030, Vereda Paso Cusiana, Tauramena, Casanare",-72.6969,5.0047,2020-11-27 00:00:00,2021-01-12 00:00:00,None,,Other,,2010739,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 118,"CTPC 118, Vereda El Triunfo, Aguazul, Casanare",-72.5975,5.2408,2020-11-27 00:00:00,2021-01-16 00:00:00,None,,Other,,2010836,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 054,"CTPC 054, Vereda Zambo, Tauramena, Casanare",-72.7949,5.1214,2020-12-10 00:00:00,2021-01-15 00:00:00,None,,Other,,2010761,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 109,"CTPC 109, Vereda Cupiagua, Aguazul, Casanare",-72.6516,5.232,2020-11-28 00:00:00,2021-01-13 00:00:00,None,,Other,,2010828,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 083,"CTPC 083, Vereda Unete, Aguazul, Casanare",-72.6062,5.1931,2020-12-02 00:00:00,2021-01-18 00:00:00,None,,Other,,2010701,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 085,"CTPC 085, vereda Monterralo, Aguazul, Casanare",-72.6514,5.2059,2020-12-01 00:00:00,2021-01-19 00:00:00,None,,Other,,2010818,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 119,"CTPC 119, Vereda El Triunfo, Aguazul, Casanare",-72.5904,5.2402,2020-12-06 00:00:00,2021-01-22 00:00:00,None,,Other,,2010882,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 021,"CTPC 021, Vereda Aceite Alto, Tauramena, Casanare",-72.7156,4.9961,2020-12-02 00:00:00,2021-01-26 00:00:00,None,,Other,,2010734,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 066,"CTPC 066, Vereda Los Lirios, Aguazul, Casanare",-72.733,5.1415,2020-12-12 00:00:00,2021-01-16 00:00:00,None,,Other,,2010770,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 110,"CTPC 110, Vereda Cupiagua, Aguazul, Casanare",-72.6421,5.2316,2020-11-27 00:00:00,2021-01-17 00:00:00,None,,Other,,2010829,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 02,"CTPC 002, vereda Chaparral, Tauramena, Casanare",-72.7242,4.9686,2020-12-02 00:00:00,2021-01-11 00:00:00,None,,Other,,2010684,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 144,"CTPC 144, vereda Planadas, Yopal, Casanare",-72.4167,5.475,2020-11-14 00:00:00,2021-01-26 00:00:00,None,,Other,,2010781,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 006,"CTPC 006, vereda Yaguaros, Tauramena, Casanare",-72.6874,4.968,2020-11-28 00:00:00,2021-01-14 00:00:00,None,,Other,,2010700,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 036,"CTPC 036, vereda Juve, Tauramena, Casanare",-72.6958,5.0144,2020-11-27 00:00:00,2021-01-13 00:00:00,None,,Other,,2010875,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 037,"CTPC 037, Vereda Bendiciones, Tauramena, Casanare",-72.6852,5.0148,2020-12-11 00:00:00,2021-01-13 00:00:00,None,,Other,,2010749,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 029,"CTPC 029, vereda Paso Cusiana, Tauramena, Casanare",-72.6969,5.0047,2020-11-27 00:00:00,2021-01-12 00:00:00,None,,None,,2009816,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 089,"CTPC 089, Vereda Unete, Aguazul, Casanare",-72.6159,5.2052,2020-12-01 00:00:00,2021-01-20 00:00:00,None,,Other,,2010816,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
